"debate_title","motion_text"
"Sport and the 2012 Olympics Legacy","I beg to move, This House notes that the number of people participating in regular sport or physical activity has fallen significantly since the London 2012 Olympic and Paralympic Games; fears that the Government has squandered the Olympic legacy it was bequeathed in 2010; believes that increasing participation in a wide range of sports is key to creating the next generation of elite athletes and to improving the health and wellbeing of the nation; and urges the Government to take urgent action to boost participation and support local grassroots sports clubs and associations."
"New Independent Commission on Full Fiscal Autonomy","I beg to move, That the clause be read a Second time."
"Disability, industrial injuries and carer’s benefits","I beg to move amendment 128, page 21, line 39, leave out from “of” to the end of line 7 on page 22 and insert “a disabled person or person with a physical or mental impairment or health condition in respect of effects or needs arising from that disability, impairment or health condition.” The current definition of ‘disability benefit’ used in the Bill is restrictive and could place unnecessary limits on the kind of replacement benefit the Scottish Government has the power to introduce. It may not, for example, allow the Scottish Government to introduce a benefit to assist people with very low level disabilities or those for whom the effect of their disability is largely financial ."
"Universal credit: costs of claimants who rent accommodation","I beg to move amendment 118, page 26, line 20, leave out from “unless” to end of line 25 and insert “they have consulted the Secretary of State” This amendment would remove the requirement for the Scottish Government to obtain consent from a UK Secretary of State in relation to Universal Credit and the costs of claimants who rent accommodation."
"Employment support","I beg to move amendment 120, page 27, line 22, leave out from beginning to “for” in line 23 and insert “Arrangements”."
"Equal Pay and the Gender Pay Gap","I beg to move, That this House notes that, 45 years after the Equal Pay Act 1970, women still earn on average 81 pence for every pound earned by men; welcomes the fact that pay transparency under section 78 of the Equality Act 2010 will be introduced in 2016; and calls on the Government to ensure that this results in real progress to close the gender pay gap by mandating the Equalities and Human Rights Commission to conduct, in consultation with the Low Pay Commission, an annual equal pay check to analyse information provided under section 78 on pay gaps across every sector of the economy and to make recommendations to close the gender pay gap."
"Tax Credits (Working Families)","I beg to move, That this House believes that people should be given support and incentives to find employment and stay in employment; notes that, at a time when the recovery is still fragile for many, the impact of a significant reduction in in-work tax credits could increase hardship and undermine the importance of making work pay; believes that any meaningful effort to address the real causes of high welfare costs should tackle the underlying drivers of low pay, housing costs and insecure working conditions; further notes that the threat of a £5 billion reduction in child tax credits would see 3.7 million working families lose an average of £1,400 a year in income; and urges the Chancellor to guarantee that any assistance in the July 2015 Budget is focused solely on people on middle and low incomes."
"Ways and Means		Budget Resolutions and Economic Situation		Amendment of the Law","I beg to move an amendment, after “importation”, insert “other than in relation to Police Scotland and the Scottish Fire and Rescue Service”."
"Personal, Social, Health and Economic Education (Statutory Requirement)","I beg to move, That leave be given to bring in a Bill to require the Secretary of State to provide that Personal, Social, Health and Economic education (PSHE) be a statutory requirement for all state-funded schools; for PSHE to include Sex and Relationships Education (SRE) and education on ending violence against women and girls; to provide for initial and continuing teacher education and guidance on best practice for delivering and inspecting PSHE and SRE education; and for connected purposes."
"European Union Referendum Bill","I beg to move, That the clause be read a Second time."
"entitlement to vote in the referendum","I beg to move amendment 20, page 2, line 2, leave out “parliamentary” and insert “local government”."
"Insurance premium tax: standard rate","I beg to move amendment 1, page 59, line 19, at end add— “(6) The Chancellor of the Exchequer shall, within three months of the passing of this Act, undertake, and lay before both Houses of Parliament, a review of the impact of any further rise in the standard rate of insurance premium tax with particular attention to the impact on— (a) the price charged for insurance policies; and (b) the take-up of insurance policies”."
"Humanitarian Crisis in the Mediterranean and Europe","I beg to move, That this House recognises the funding the Government has committed to the humanitarian initiatives to provide sanctuary in camps for refugees across the Middle East; calls for a greater international effort through the United Nations to secure the position of such displaced people; recognises that the Government has committed to accepting 20,000 vulnerable people from camps in Syria over the next five years but calls for a Government report to be laid before the House by 12 October 2015 detailing how that number can be increased, encompassing refugees already in Europe and including a plan for the remainder of this year to reflect the overwhelming urgency of this humanitarian crisis; further notes that refugees arriving in European Union territory also have a moral and legal right to be treated properly; and, given the pressure on Southern European countries, further calls for the UK to play its full and proper role, in conjunction with European partners, in providing sanctuary to our fellow human beings."
"Assisted Dying (No. 2) Bill","I beg to move, That the Bill be now read a Second time."
"Trade Union Bill","I beg to move, That the Bill be now read a Second time."
"Tax Credits","I beg to move, That the draft Tax Credits (Income Thresholds and Determination of Rates) (Amendment) Regulations 2015, which were laid before this House on 7 September, be approved."
"Charter for Budget Responsibility","I beg to move, That the Charter for Budget Responsibility: autumn 2015 update which was laid before the House on 12 October, be approved."
"Access to Medical Treatments (Innovation) Bill","I beg to move, That the Bill be now read a Second time."
"Tax Credits","I beg to move, That this House calls on the Government to reverse its decision to cut tax credits, which is due to come into effect in April 2016."
"Standing Orders (Public Business)","I beg to move, That (1) The following new Standing Orders and changes to Standing Orders be made: “CERTIFICATION OF BILLS, CLAUSES AND SCHEDULES ETC: GENERAL 83J. Certification of bills etc. as relating exclusively to England or England and Wales and being within devolved legislative competence (1) The Speaker shall, before second reading- (a) consider every public bill presented by a Minister of the Crown or brought from the Lords and taken up by a Minister of the Crown, and (b) certify any such bill, or any clause or schedule of any such bill, which, in the Speaker’s opinion- (i) relates exclusively to England or to England and Wales, and (ii) is within devolved legislative competence."
"Defence Expenditure (NATO Target) Bill","I beg to move, That the Bill be now read a Second time."
"New Inheritance tax review","I beg to move, That the clause be read a Second time."
"Schedule 6		Venture capital trusts","I beg to move, That the Bill be now read the Third time."
"New Repeal of Tax Credits Regulations 2015","I beg to move, That the clause be read a Second time."
"Schedule 2		Further provision about social housing rents","I beg to move, That the Bill be now read the Third time."
"Tax Credits","I beg to move, That this House calls on the Government to reconsider the effect on the lowest paid workers of its proposed changes to tax credits due to come into force in April 2016, to carry out and publish an analysis of that effect, and to bring forward proposals to mitigate it."
"Access to Medical Treatments (Innovation) Bill (Money)","I beg to move, That, for the purposes of any Act resulting from the Access to Medical Treatments (Innovation) Bill, it is expedient to authorise the payment out of money provided by Parliament of any increase attributable to the Act in the sums payable under any other Act out of money so provided."
"Policing","I beg to move, That this House notes with concern the loss of 17,000 police officers in the last five years; further notes the most recent Police Recorded Crime statistics, which show sharp rises in some of the more serious crimes including knife crime and sexual assault and that, alongside evidence that some crime is rising, there is evidence that crime is changing and moving away from traditional forms such as burglary and car theft and is being increasingly replaced by cybercrime; is concerned by reports that the police budget could face between 25 and 40 per cent spending reductions in the forthcoming Comprehensive Spending Review; notes warnings from senior police figures that this could result in over 20,000 further reductions in frontline staff, the effective end of neighbourhood policing and much of the public being exposed to much greater risk; accepts that further efficiencies can be made in the police budget for England and Wales but believes that budget reductions over 10 per cent would be dangerous; further notes the ongoing concern surrounding the Scottish Government’s oversight of Police Scotland and the findings of the recent staff survey which found only 30 per cent of staff thought they had the resources necessary to do their job properly; and calls on the Government to secure a funding settlement for the police that maintains frontline services and does not compromise public safety."
"Union supervision of picketing","I beg to move amendment 6, page 4, line 31, leave out clause 9."
"The Economy","I beg to move, That this House believes that the Government has failed to deliver on its commitment to stand up for working people; notes that the Government’s existing plans to cut tax credits will cost more than three million working families an average of £1,300 a year from next April; further notes that 4.1 million children now live in absolute poverty, an increase of 500,000 since 2009-10; notes that in 2014 the UK’s current account deficit reached the highest level ever recorded, at 5.1 per cent; notes that 85 per cent of the money saved from tax and benefit changes in the last Parliament came from women; further believes that the Government has failed to deliver the more sustainable economy the country needs; notes that, rather than investing in building new homes to cut housing benefit costs, housing investment has been slashed and housing benefit has risen by over £2 billion a year in real terms; notes that the gap between UK productivity per hour worked and the rest of the G7 grew to 20 percentage points in 2014, the widest productivity gap since 1991; believes that further deep cuts to the budget of the Department for Business, Innovation and Skills could damage the Government’s ability to boost innovation and productivity and could restrict opportunities for British businesses and workers to succeed in the global economy; calls on the Government to reverse fully and fairly its plans to cut tax credits from next April; and further calls for the Government to invest in growing a more productive economy with a focus on science, technology and green jobs to equip Britain for the future and share more fairly the proceeds of growth."
"Further Education","I beg to move, That this House believes that a 21st century economy cannot be built on falling investment in education; notes that the 16-19 education budget fell by 14 per cent in real terms over the last Parliament, and that many colleges are reporting severe financial difficulties, including no longer offering courses in subjects key to our country’s competitiveness; further notes that over 100 chairs of further education colleges have warned that further cuts to 16-19 funding will tip their colleges over the precipice, and risk the nation’s productivity; believes that, given that the participation age has now risen to 18 years old, it makes no sense for the post-16 education budget to be treated with less importance than the 5-16 schools budget; further believes there should be a joined-up approach to education across departments; and calls on the Government to protect the education budget in real terms, from the early years through to 19 years old."
"Miscellaneous","I beg to move amendment (a), after sub-paragraph (6)(b), at end, insert— “(ba) the Question on any amendment, new clause or new schedule selected by the Chair for separate decision;” I am glad to move this amendment, which stands in the names of my hon. Friends the Members for South Down (Ms Ritchie) and for Belfast South (Dr McDonnell) as well as mine."
"Trident","I beg to move, That this House believes that Trident should not be renewed."
"HMRC Office Closures","I beg to move, That this House condemns the proposed closure of HMRC offices in Scotland and throughout the UK; believes that this will result in a reduced service to the public; is concerned about the potential loss of tax yield; is further concerned at the loss of jobs and expertise in local communities; further believes that this will undermine efforts to reduce the tax gap which currently stands at £34 billion; also believes that this proposal will undermine the ability of SMEs to access information and advice and that the proposed closure programme is flawed and counterproductive; and calls on the Government to halt its programme of HMRC office closures."
"ISIL in Syria","I beg to move, That this House notes that ISIL poses a direct threat to the United Kingdom; welcomes United Nations Security Council Resolution 2249 which determines that ISIL constitutes an ‘unprecedented threat to international peace and security’ and calls on states to take ‘all necessary measures’ to prevent terrorist acts by ISIL and to ‘eradicate the safe haven they have established over significant parts of Iraq and Syria’; further notes the clear legal basis to defend the UK and our allies in accordance with the UN Charter; notes that military action against ISIL is only one component of a broader strategy to bring peace and stability to Syria; welcomes the renewed impetus behind the Vienna talks on a ceasefire and political settlement; welcomes the Government’s continuing commitment to providing humanitarian support to Syrian refugees; underlines the importance of planning for post-conflict stabilisation and reconstruction in Syria; welcomes the Government’s continued determination to cut ISIL’s sources of finance, fighters and weapons; notes the requests from France, the US and regional allies for UK military assistance; acknowledges the importance of seeking to avoid civilian casualties, using the UK’s particular capabilities; notes the Government will not deploy UK troops in ground combat operations; welcomes the Government’s commitment to provide quarterly progress reports to the House; and accordingly supports Her Majesty’s Government in taking military action, specifically airstrikes, exclusively against ISIL in Syria; and offers its wholehearted support to Her Majesty’s Armed Forces."
"New English National Park authorities: general powers","I beg to move, That the clause be read a Second time."
"Entitlement to vote in the referendum","I beg to move, That this House disagrees with Lords amendment 1."
"Serious and Organised Crime: Prüm Convention","I beg to move, That this House, wishing to see serious crimes solved, to counter terrorism and to see foreign criminals prosecuted and deported, supports opting in to the Prüm Decisions; notes the views of senior law enforcement officers that the Prüm Decisions are an important aid to tackling crime; notes the success of a pilot that demonstrated that the Prüm Decisions mechanism is both swift and effective; and further notes that only a subset of the relevant national DNA and fingerprint databases, containing data relating to individuals convicted of recordable offences, will be made available for searching by other participating States, and that the higher UK scientific standards will be applied to matches in the UK."
"Mental Health","I beg to move, That this House believes that mental health should be treated with the same priority as physical health and recognises the importance of promoting good mental health from childhood through to adulthood; believes that not enough progress has been made in translating this House’s commitment to parity of esteem between mental and physical health into practice; notes with concern that the King’s Fund has reported widespread evidence of poor-quality care across mental health services, and the latest available figures show a rise in suicide rates and the number of detentions under the Mental Health Act 1983 increasing by 10 per cent in the past year alone; further notes the delay in the publication of NHS England’s Mental Health Taskforce report; notes the concerns that have been raised with the Scottish Government regarding the rate of inappropriate admissions of young people to non-specialist facilities for mental health treatment which have increased by 38 per cent since 2011; is concerned by the absence of data on NHS spending on mental health services since 2011-12; opposes the Government’s decision not to enshrine the right to psychological therapies in the NHS Constitution; and calls on the Government to urgently rectify this systemic inequity in entitlement to treatments, reinstate the annual survey of investment in mental health services and develop and implement in full a new strategy to improve the Government’s cross-departmental response to mental health."
"Women and the Economy","I beg to move, That this House notes with concern the disproportionate impact of this Government’s policies on women; further notes that, according to the Library’s data, measures in the Summer Budget and Autumn Statement have hit women three times harder by tax and benefit changes than men; notes that proposals for infrastructure investment outlined in the Autumn Statement are predominantly focused in sectors that typically employ more men than women; notes with concern that the UK gender pay gap stands at 19.2 per cent, higher than the EU average, and that the Government’s introduction of tribunal fees means that women have to pay £1,200 in order to bring forward an equal pay claim, preventing many from pursuing legitimate claims; notes concerns raised by the Scottish Trades Union Congress and the Scottish Older Women’s Commission regarding the proliferation of low-paid part-time work among women; notes that levels of maternity discrimination have almost doubled in recent years; notes the alarming rate of closures of services supporting victims of domestic violence, particularly services for BME women; and calls on the Government to affirm its commitment to ensuring that women and protected groups do not bear the brunt of Government measures, to conduct an urgent cumulative assessment of the impact of its policies on women since 2010, to take the necessary remedial steps to mitigate any disproportionate burden on women and to develop and publish a gender equality strategy to improve the position of women over the remainder of this Parliament."
"Relocation of Migrants in need of International Protection (Opt-in Decision)","I beg to move, That this House takes note of European Union Documents No. 9355/15 and Addendum and No. 11132/15, international protection for the benefit of Italy and Greece, No. 11843/15 and Addendum, establishing a crisis relocation mechanism, and No. 11844/15 and Addendum, international protection for the benefit of Italy, Greece and Hungary; and agrees with the Government’s decision not to opt in to proposals establishing provisional measures for the relocation of individuals in need of international protection or to the proposal establishing a crisis relocation mechanism."
"Climate Change and Flooding","I beg to move, That this House applauds the courage and tirelessness of the UK’s emergency services, Armed Forces and volunteers who are working day and night to protect people from the damaging floods; condemns the reckless cuts to flood defence funding made by the Government, which have left communities more vulnerable to extreme weather; notes that 600 people were evacuated from their homes in Hawick due to flooding, and hopes the Scottish Government will urgently invest additional funds to enhance flood protection schemes in Scotland; further notes the increasing frequency and intensity of storms in recent years and their consistency with the warnings of Britain’s leading climate scientists regarding the impact of climate change; supports the outcome of the UN COP21 conference in Paris, but recognises that international cooperation and ambition to reduce greenhouse gases and invest in clean energy technologies must be increased if global temperature rises are to be limited and the goal of climate safety kept within reach; expresses concern at the Government’s decisions to cut investment in carbon capture and storage technology, privatise the Green Investment Bank without protecting its green mandate, reduce funding for energy efficiency and solar energy and block the growth of wind energy, which all jeopardise the future of Britain’s important low-carbon industries; and calls on the Government to institute a thorough climate risk assessment that considers the implications of the Paris Summit for future flood risk."
"Housing","I beg to move, That this House notes that the Government’s record on housing is one of five years of failure with rising homelessness, falling home-ownership, escalating rents, deep cuts in investment and the lowest level of house-building since the 1920s; further notes that the Spending Review and Autumn Statement will not result in the homes that young people and families on ordinary incomes need being built because it cuts the level of investment from that of 2010 and fails to prioritise genuinely affordable homes to rent and buy; notes Shelter Scotland's report of September 2015, Affordable Housing Need in Scotland, which states that overall house-building levels are well below their peak in 2007 and that the number of new social homes built has fallen by 44 per cent from 2010 to 2014; notes the widespread concern that the Government’s Housing and Planning Bill will lead to the severe loss of affordable homes, will be a let-down for aspiring home-owners, and will do nothing to help England’s private renters struggling with poor conditions and high renting costs; and calls on the Government to help families who are struggling with the cost of housing, including by building more affordable homes to rent and buy."
"Representation of the People (Proportional Representation) (House of Commons)","I beg to move, That leave be given to bring in a Bill to amend the Representation of the People Acts to provide for the introduction of proportional representation as a method for electing a certain number of Members of the House of Commons; to make provision about changing existing constituencies and reducing their number; and for connected purposes."
"Housing and Planning Bill (Programme) (No. 2)","I beg to move, That the Order of 2 November 2015 (Housing and Planning Bill (Programme)) be varied as follows: (1) Paragraphs (4) and (5) of the Order shall be omitted."
"Opposition Day		 		Universal Credit Work Allowance","I beg to move, That this House calls on the Government to reverse its decision to cut the universal credit work allowance, which is due to come into effect in April 2016."
"Flooding","I beg to move, That this House extends its sympathy to all those affected by recent floods and its gratitude to the emergency services, armed forces and volunteers who rallied round to help afflicted communities over the holiday period; notes the damage the Chancellor of the Exchequer’s cuts, which the National Audit Office estimates amounted to 10 per cent over the course of the last Parliament, excluding emergency funding, have caused to these communities; notes that by delaying or cutting new flood defence projects or neglecting maintenance of existing flood defences, the Government has failed to protect these communities; notes with concern the recent decision by the Scottish Government to impose a six per cent cut on funding to the Scottish Environmental Protection Agency; believes that there has been a dismal lack of action by the Cabinet Committee set up after the floods of 2013-14 and questions the effectiveness of the newly-created Cabinet Committee under the same leadership; further believes that the UK needs a long-term plan which includes a complete rethink of flood defences, as proposed by the Environment Agency, measures to make homes, communities and infrastructure more flood resilient and a greater focus on flood prevention, particularly through uplands and water catchment management; and calls on the Government to commit to the figure that the Environment Agency said in 2014 was required to protect communities of £800 million per year on maintenance and strengthening of flood defences and to carry out an urgent, independent, public review of flood policy."
"State Pension Age (Women)","I beg to move, That this House, while welcoming the equalisation of the state pension age, is concerned that the acceleration of that equalisation directly discriminates against women born on or after 6 April 1951, leaving women with only a few years to make alternative arrangements, adversely affecting their retirement plans and causing undue hardship; regrets that the Government has failed to address a lifetime of low pay and inequality faced by many women; and calls on the Government to immediately introduce transitional arrangements for those women negatively affected by that equalisation."
"Opposition Day		 		Trade, Exports, Innovation and Productivity","I beg to move, That this House regrets the continuing lack of balance in the UK economy and the UK Government’s over-reliance on unsustainable consumer debt to support economic growth; notes in particular the UK’s poor export performance, which resulted in a trade deficit in goods of £123 billion in 2014; further notes the UK’s continuing poor productivity record and the lack of a credible long-term plan to improve it; and is deeply concerned by the UK Government’s change to Innovate UK funding of innovation from grants to loans, which this House believes will result in a deterioration of private sector research and development."
"Opposition Day		 		Student Maintenance Grants","I beg to move, That this House calls upon the Government to abandon its policy on replacing maintenance grants with loans for lower income students."
"Cost of Public Transport","I beg to move, That this House believes that the rising cost of public transport is adding to the financial pressures facing many households; notes that over 2,400 local authority-supported bus routes have been cut or downgraded since 2010; regrets that bus fares have risen by 26 per cent on average and regulated rail fares have risen by up to 38 per cent since 2010; further regrets delays to rail infrastructure projects including the electrification of the Great Western Main Line, the North TransPennine route and the Midland Main Line; notes with regret the decision by the Scottish Government to award the ScotRail franchise to a private operator, rather than exploring alternative options; calls on the Government to bring forward a buses bill as announced in the Queen’s Speech to enable the regulation of local bus networks; and further calls on the Government to rule out the privatisation of Network Rail and instead extend to franchised services the model of rail public ownership that delivered record passenger satisfaction scores on the East Coast Main Line."
"New New Psychoactive Substances – Prevention and Education","I beg to move, That the clause be read a Second time."
"New Breach of a premises notice","I beg to move, That the clause be read a Second time."
"New Evaluation of the implementation of the section 1 duty","I beg to move, That the clause be read a Second time."
"Opposition Day		 		Housing Benefit and Supported Housing","I beg to move, That this House believes that the Government’s planned cuts to housing benefit support for vulnerable people in specialist housing, including the elderly and people who are homeless, disabled or fleeing domestic violence, risk leading to the widespread closure of this accommodation; notes the concern from charities, housing associations, councils and others across the country about the severe effect of these cuts; further notes that supported housing has already suffered as a result of Government spending cuts and policy decisions; notes that the planned changes will apply to all new tenancies from April 2016; notes the clear evidence that the Government’s proposal to mitigate these cuts with discretionary housing payments will not work; and calls on the Government to urgently exempt supported housing from these housing benefit cuts and to consult fully with supported housing providers to safeguard this essential accommodation."
"Prisons and Probation","I beg to move, That this House believes UK prisons are in crisis; notes the increasingly high rates of violence, self-harm and drug use in prisons, and the resulting pressure on the NHS; further notes that the last report by the outgoing Chief Inspector of Prisons warned that outcomes across the prison estate were the worst for ten years; believes that no prison staff should have to go to work facing a threat to their safety; notes with concern the decision of the Scottish Government, announced in its recent draft Scottish Budget for 2016-17, to reduce funding for the Scottish Prison Service by almost £40 million in cash terms; is appalled by the disturbing allegations of violence at Medway Secure Training Centre; regrets the Government’s inadequate response to the Harris Review and to mental health in prisons; is concerned that re-offending rates are so high; believes the Government lets down victims of crime by failing to enshrine their rights in law; regrets the Government’s reckless privatisation of the probation service and the job losses in community rehabilitation companies; and calls on the Government to put all G4S-run prisons, STCs and detention centres into special measures, to immediately review the implementation of Transforming Rehabilitation and to publish the Memorandum of Understanding on Judicial Cooperation with Saudi Arabia."
"Enterprise Bill [Lords]","I beg to move, That the Bill be now read a Second time."
"EU REFERENDUM: TIMING","I beg to move, That this House notes and regrets that the Government appears set to rush to a referendum on the UK’s membership of the European Union in June 2016; believes that no case has been made for holding a referendum at such an early stage, and that further, any such needlessly premature date risks contaminating the result; believes that a subject as fundamental as EU membership should be decisively settled after a full and comprehensive debate; notes the recommendations of the Electoral Commission on best practice for referendums; further notes that there are elections happening in Northern Ireland, Scotland, Wales, London and some local authorities in May 2016 and that the First Ministers of each of the devolved administrations have all expressed opposition to a June referendum date; and urges the Government to set the date for the referendum having respect for the May elections as distinct electoral choices."
"HOUSING: LONG-TERM PLAN","I beg to move, That this House believes everyone deserves a decent, affordable home to live in; regrets that many people are priced out of the communities in which they grew up due to rising house prices and rents; acknowledges the achievements of the Coalition Government in implementing Help to Buy, bringing empty homes back into use and increasing support for self-build; condemns the present Government’s housing reforms which will lead to fewer new affordable homes for rent and breakdown in communities by selling off affordable homes with no guarantee of replacement; further notes their devastating impact on supported housing of the most vulnerable including those with learning disabilities; recognises the need for a huge increase in the supply of homes due to decades of under-delivery by successive governments; notes that an increase in apprenticeships and other skills training within the construction industry is required to meet that need; further notes the particular challenges of affordable housing in rural areas; regrets that the average cost of a home in London is now over £500,000; endorses the proposal of London Mayoral candidate, Caroline Pidgeon, to convert the Olympic precept into a funding stream that would enable 200,000 new homes to be built in London; acknowledges the benefits of building sustainable homes; and calls on the Government to set out a long-term housing plan to meet the housing needs of future generations which includes lifting the borrowing cap for councils and at least ten new garden cities."
"Police Grant Report (England and Wales)","I beg to move, That the Police Grant Report (England and Wales) for 2016–17 (HC 753), which was laid before this House on 4 February, be approved."
"Local Government Finance (England)","I beg to move, That the Report on Local Government Finance (England) 2016–17 (HC 789), which was laid before this House on 8 February, be approved."
"Welfare Reform and Work Bill","I beg to move, That this House disagrees with Lords amendment 1."
"Education and Adoption Bill","I beg to move, That this House agrees with Lords amendment 1."
"Opposition Day		 		Transitional State Pension Arrangements for Women","I beg to move, That this House notes that the e-petition 110776, Make fair transitional state pension arrangements for 1950s women, has attracted more than 150,000 signatures; and calls on the Government to bring forward proposals for transitional arrangements for women adversely affected by the acceleration of the increase in the state pension age."
"Police Funding, Crime and Community Safety","I beg to move, That this House recalls that the Chancellor announced in the Autumn Statement 2015 that there would be real-terms protection for police funding; notes that, based on the scale of cuts proposed, police budgets will fall by between nine and ten per cent over four years in real terms; further notes that the failure to provide real-terms protection for the police budget will lead to further cuts in police numbers in addition to the 18,357 police officers already lost since 2010; notes that the inclusion of cybercrime in crime statistics will show that crime has doubled; notes the heightened threat of a terrorist attack in the UK and the operational role of neighbourhood police in preventing such an attack; and calls on the Government to honour the Chancellor’s statement to the House and provide real-terms protection for the police budget."
"REFERENDUMS","I beg to move, That the draft European Union Referendum (Date of Referendum etc.) Regulations 2016, which were laid before this House on 22 February, be approved."
"UK STEEL INDUSTRY","I beg to move, That this House notes the crisis in the UK steel industry; calls on the Government to support tougher EU action to ensure a level playing field and prevent the dumping of Chinese steel, to support scrapping the lesser duty rule which prevents higher tariffs being imposed that reflect the actual margin of dumping and to examine the implications of granting China Market Economy Status for the EU’s ability to tackle unfair trade; and further calls on the Government to publish a full industrial strategy which includes a procurement policy which commits to using British steel wherever possible for publicly-funded infrastructure projects and which supports industrial supply chains across the UK."
"Welfare Reform and Work Bill","I beg to move, That this House agrees with Lords amendments 1B, 1C and 1D."
"Objectives of UK Green Investment Bank","I beg to move, That the clause be read a Second time."
"Bodies excluded from the restrictions on public sector exit payments","I beg to move, That the schedule be read a Second time."
"Extended Sunday opening hours and Sunday working","I beg to move amendment 1, in page 50, line 33, leave out subsections (1) to (4)."
"Foreign National Offenders (Exclusion from the UK) Bill","I beg to move, That the Bill be now read a Second time."
"New Carbon capture and storage strategy for the energy industry","I beg to move, That the clause be read a Second time."
"Investigatory Powers Bill","I beg to move, That the Bill be now read a Second time."
"Budget Resolutions and Economic Situation		Amendment of the Law","I beg to move amendment (b), in paragraph (2), after “tax”, insert— “(except in relation to value added tax on insulation, solar panels and any other category of energy-saving material or their installation)”."
"TAX AVOIDANCE AND EVASION","I beg to move, That this House notes with concern the revelations contained within the Panama Papers and recognises the widespread public view that individuals and companies should pay their fair share of tax; and calls upon the Government to implement Labour’s Tax Transparency Enforcement Programme which includes: an immediate public inquiry into the revelations in the Panama Papers, HMRC being properly resourced to investigate tax avoidance and evasion, greater public sector transparency to ensure foreign companies wanting to tender for public sector contracts publicly list their beneficial owners, consultation on proposals for foreign companies wanting to own UK property to have their beneficial owners listed publicly, working with banks to provide further information over beneficial ownership for all companies and whom they work for, the swift implementation of full public country-by-country reporting with a fair turnover threshold as well as ensuring robust protection for whistle blowers in this area, ensuring stricter minimum standards of transparency of company and trust ownership for Crown Dependencies and Overseas Territories, consideration of the development of the Ramsey Principle by courts, implementation of an immediate review into the registry of trusts, and the strengthening and extension of the General Anti-Avoidance Rule to cover offshore abuses."
"Banks authorised to issue banknotes in Scotland and Northern Ireland","I beg to move amendment 4, in clause 36, page 34, line 15, at beginning insert— ‘( ) Subject to the provisions of subsection (3A).” This amendment and amendment 5 would enable Lloyds Banking Group, the holder of the Bank of Wales trademark, to issue banknotes in Wales."
"Appointments relating to Part 1","I beg to move, That the Bill be now read the Third time."
"Onshore wind power: circumstances in which certificates may be issued after 31 March 2016","I beg to move, That this House agrees with Lords amendment 7A."
"BACKBENCH BUSINESS - DAESH: GENOCIDE OF MINORITIESBACKBENCH BUSINESS","I beg to move, That this House believes that Christians, Yazidis, and other ethnic and religious minorities in Iraq and Syria are suffering genocide at the hands of Daesh; and calls on the Government to make an immediate referral to the UN Security Council with a view to conferring jurisdiction upon the International Criminal Court so that perpetrators can be brought to justice."
"RECORD COPIES OF ACTS","I beg to move, That this House disagrees with the conclusion of the House of Commons Administration Committee’s First Report of Session 2015-16; welcomes the view expressed by the Minister for the Cabinet Office and Paymaster General that government funds would be available to pay for the continued use of vellum for printing Acts of Parliament; is unwilling to amend or resile from the terms of the Resolutions agreed by both Houses on 12 February 1849; and accordingly instructs the Clerk of the House to convey to the Clerk of the Parliaments that the House of Commons has withheld its consent to the use of archival paper rather than vellum for the printing of record copies of public Acts of Parliament."
"Unaccompanied Refugee Children: Relocation and Support","I beg to move, That this House disagrees with Lords amendment 87."
"Provision for electronic balloting: review and piloting scheme","I beg to move Government amendment (a) to Lords amendment 2."
"Neighbourhood right of appeal","I beg to move, That this House disagrees with Lords amendment 97."
"NHS Bursaries","I beg to move, That this House recognises the contribution of student nurses, midwives, allied health professionals and other healthcare staff; has serious concerns about the potential impact of removing NHS bursaries on the recruitment and retention of staff; and calls on the Government to drop their plans to remove NHS bursaries and instead to consult on how they can best fund and support the future healthcare workforce."
"Onshore Wind Generating Stations in England and Wales","I beg to move, That this House disagrees with Lords amendment 7TB."
"Planning permission: provision of starter homes","I beg to move, That this House disagrees with Lords amendment 10B."
"Reduction of payment by agreement","I beg to move, That this House disagrees with the Lords in their amendment 47E."
"Education, Skills and Training","I beg to move an amendment, at the end of the Question to add: “but respectfully regret that the Gracious Speech contained proposals to enable further increases in tuition fees; believe that there should be no further increases in tuition fees; and further believe that no good or outstanding school should be forced to become an academy.”."
"The Economy and Work","I beg to move amendment (e), at the end of the Question to add: “but respectfully regret that the Gracious Speech fails to deliver for working people, to protect public services and to address the black hole in the public finances; further regret that the Government’s economic policy has unfairness at its core and includes tax cuts for the wealthy while failing to deal with inequality; regret the refusal of the Scottish Government to use its new tax powers to put an end to austerity in Scotland; regret that the Government is presiding over the worst decade for pay growth in nearly a century; call on the Government to adopt Labour’s Fiscal Credibility Rule to invest in a sustainable economy for the future and  to adopt Labour’s Tax Transparency Enforcement Programme to tackle tax avoidance; regret that the Government has failed to defend the UK steel industry, believe the Government should reform the lesser duty rule and call on the Government to give Parliament a vote on giving China market economy status and to adopt Labour’s 4 Point Plan to save the steel industry as a part of a long-term industrial strategy; further call on the Government to reverse the cuts to Universal Credit work allowances; and call on the Government to abandon its misguided proposals to repeal the Human Rights Act 1998.”."
"Bulk interception warrants","I beg to move amendment 390, page 95, line 27, leave out clause 119."
